年份,出售單位,發電案場,購買者,憑證種類,供電種類,憑證張數
2024,中威風力發電股份有限公司,台中風場,台灣積體電路製造股份有限公司,風力能,轉供,28559
2024,中租電力科技股份有限公司,帝寶工業新營廠房屋頂太陽光電發電廠,中租迪和股份有限公司,太陽能,轉供,208
2024,中鋼光能股份有限公司,中鋼成品倉庫07庫&amp;條線工場08庫,中國鋼鐵股份有限公司,太陽能,併網型直供,627
2024,中鋼光能股份有限公司,中鋼鋼板工場#02#03庫,中國鋼鐵股份有限公司,太陽能,併網型直供,451
2024,中鋼光能股份有限公司,中鋼#09~#11條鋼工廠,中國鋼鐵股份有限公司,太陽能,併網型直供,326
2024,中鋼光能股份有限公司,中鋼小鋼胚儲區,中國鋼鐵股份有限公司,太陽能,併網型直供,156
2024,中鋼光能股份有限公司,中鋼第三酸冷軋線、第三冷軋軋輥場,中國鋼鐵股份有限公司,太陽能,併網型直供,273
2024,中鋼光能股份有限公司,中鋼第二熱浸鍍鋅線,中國鋼鐵股份有限公司,太陽能,併網型直供,97
2024,中鋼光能股份有限公司,中鋼機械修理廠,中國鋼鐵股份有限公司,太陽能,併網型直供,61
2024,中鋼光能股份有限公司,中鋼成品倉庫#25庫,中國鋼鐵股份有限公司,太陽能,併網型直供,230
2024,中鋼光能股份有限公司,中鋼#17成品倉庫,中國鋼鐵股份有限公司,太陽能,併網型直供,169
2024,中鋼光能股份有限公司,中鋼#20成品倉庫,中國鋼鐵股份有限公司,太陽能,併網型直供,204
2024,中鋼光能股份有限公司,中鋼輕型軋輥課,中國鋼鐵股份有限公司,太陽能,併網型直供,40
2024,中鋼光能股份有限公司,中鋼第二線材水場脫水機房,中國鋼鐵股份有限公司,太陽能,併網型直供,26
2024,中鋼光能股份有限公司,中鋼第二連續退火線&amp;#40庫,中國鋼鐵股份有限公司,太陽能,併網型直供,164
2024,中鋼光能股份有限公司,中鋼W3扁鋼胚鑄造精整儲區,中國鋼鐵股份有限公司,太陽能,併網型直供,157
2024,中鋼光能股份有限公司,中鋼第二熱軋,中國鋼鐵股份有限公司,太陽能,併網型直供,919
2024,中鋼光能股份有限公司,中鋼#34~37庫&amp;冷軋調質工廠,中國鋼鐵股份有限公司,太陽能,併網型直供,874
2024,中鋼光能股份有限公司,中鋼第一連續退火線&amp;連續塗覆工廠,中國鋼鐵股份有限公司,太陽能,併網型直供,108
2024,中鋼光能股份有限公司,中鋼成品倉庫#39庫&amp;第一熱浸鍍鋅線,中國鋼鐵股份有限公司,太陽能,併網型直供,173
2024,中鋼光能股份有限公司,中鋼第一酸洗冷軋線&amp;冷軋軋輥二股,中國鋼鐵股份有限公司,太陽能,併網型直供,93
2024,中鋼光能股份有限公司,中鋼封盒退火場,中國鋼鐵股份有限公司,太陽能,併網型直供,78
2024,中鋼光能股份有限公司,中鋼南站80000T原水池&amp;VC-1F03原水池,中國鋼鐵股份有限公司,太陽能,併網型直供,75
2024,中鋼光能股份有限公司,中鋼第一熱軋精整,中國鋼鐵股份有限公司,太陽能,併網型直供,170
2024,中鋼光能股份有限公司,中鋼第一熱軋成品倉庫,中國鋼鐵股份有限公司,太陽能,併網型直供,768
2024,中鋼光能股份有限公司,中鋼第一熱軋扁鋼胚精整設備&amp;扁鋼胚精整工場,中國鋼鐵股份有限公司,太陽能,併網型直供,91
2024,中鋼光能股份有限公司,中鋼第一熱軋軋輥&amp;熱軋鋼帶室外冷卻堆置場,中國鋼鐵股份有限公司,太陽能,併網型直供,118
2024,中鋼光能股份有限公司,中鋼第一熱軋軋輥&amp;熱軋鋼帶室外冷卻堆置場-增量,中國鋼鐵股份有限公司,太陽能,併網型直供,75
2024,中鋼光能股份有限公司,中鋁軋鋁廠,中鋼鋁業股份有限公司,太陽能,併網型直供,753
2024,中鋼光能股份有限公司,中聯資室內化儲區,中聯資源股份有限公司,太陽能,轉供,76
2024,中鋼光能股份有限公司,中聯資著磁料場,中聯資源股份有限公司,太陽能,轉供,9
2024,中鋼光能股份有限公司,中龍動力場,中龍鋼鐵股份有限公司,太陽能,併網型直供,60
2024,中鋼光能股份有限公司,中龍氧氣廠,中龍鋼鐵股份有限公司,太陽能,併網型直供,79
2024,中鋼光能股份有限公司,中龍細石料RC屋頂,中龍鋼鐵股份有限公司,太陽能,併網型直供,77
2024,中鋼光能股份有限公司,中龍扁鋼胚儲區,中龍鋼鐵股份有限公司,太陽能,併網型直供,222
2024,中鋼光能股份有限公司,中龍除礦水電氣室,中龍鋼鐵股份有限公司,太陽能,併網型直供,33
2024,中鋼光能股份有限公司,中鋼成品倉庫88庫,中國鋼鐵股份有限公司,太陽能,轉供,55
2024,中鋼光能股份有限公司,中鋼成品倉庫88庫,中聯資源股份有限公司,太陽能,轉供,80
2024,中鋼光能股份有限公司,中鋼成品倉庫88庫,中鋼碳素化學股份有限公司,太陽能,轉供,101
2024,中鋼光能股份有限公司,中鴻鹿港廠,中聯資源股份有限公司,太陽能,轉供,8
2024,中鋼光能股份有限公司,中鴻鹿港廠,中鴻鋼鐵股份有限公司,太陽能,轉供,851
