公司名稱,發電廠名稱,所在縣市,機組(座),裝置容量(瓩),商轉年度,類別
嘉南實業股份有限公司,烏山頭水力發電廠,臺南市官田區,,"8,750",91,水力發電
嘉南實業股份有限公司,西口水力發電廠,臺南市官田區,,"11,520",96,水力發電
嘉南實業股份有限公司,八田水力發電廠,臺南市官田區,,"2,196",106,水力發電
名間電力股份有限公司,名間水力發電廠,南投縣名間鄉,,"16,704",97,水力發電
聚電企業開發股份有限公司,卑南小水力發電廠,臺東縣卑南鄉,,"1,980",93,水力發電
捷祥股份有限公司,台東關山圳導水路及沉砂池發電廠,臺東縣海端鄉,,"1,000",109,水力發電
森勁電力股份有限公司,森勁一期,臺中巿西屯區,,"9,229.82",102,太陽能系統發電
森勁電力股份有限公司,森勁二期,臺中巿西屯區,,"4,132.44",103,太陽能系統發電
森勁電力股份有限公司,森勁三期,臺中市后里區,,"3,011.04",104,太陽能系統發電
森勁電力股份有限公司,森勁四期,臺中市后里區,,"4,624.24",105,太陽能系統發電
森勁電力股份有限公司,森勁五期(中區配水池),臺中市大雅區,,"1,878.24",106,太陽能系統發電
森勁電力股份有限公司,森勁五期(后里園區配水池),臺中市后里段,,"1,472.64",106,太陽能系統發電
森勁電力股份有限公司,森勁六期(澎湖監獄),澎湖縣湖西鄉,,"1,393.26",108,太陽能系統發電
森勁電力股份有限公司,森勁七期(中正預校太陽光電發電廠),高雄市鳳山區,,"7,015.14",108,太陽能系統發電
昱鼎電業股份有限公司,高捷大寮機廠(屋頂型),高雄市大寮區,,"2,106.07",104,太陽能系統發電
昱鼎電業股份有限公司,高鐵燕巢總機廠(屋頂型),高雄市燕巢區,,"3,356.74",104,太陽能系統發電
昱鼎電業股份有限公司,高鐵烏日基地第一型太陽能電廠,臺中市烏日區,,577.63,104,太陽能系統發電
昱鼎電業股份有限公司,高捷北機廠第一型太陽能電廠,高雄市橋頭區,,828.24,104,太陽能系統發電
昱鼎電業股份有限公司,台北捷運北投機廠太陽光電發電廠,台北市北投區,,"3,797.28",108,太陽能系統發電
昱鼎電業股份有限公司,台北自來水長興淨水場太陽光電系統,台北市大安區,,"2,136.96",109,太陽能系統發電
昱鼎電業股份有限公司,新營掩埋場二號太陽光電發電廠,台南市新營區、鹽水區,,"4,262.16",111,太陽能系統發電
昱鼎電業股份有限公司,桃捷青埔機廠太陽光電發電廠,桃園市大園區,,"3,600.35",112,太陽能系統發電
摩特電力股份有限公司,太陽能發電摩特一廠電廠,彰化縣大村鄉,,845.1,104,太陽能系統發電
廣進矽能電力股份有限公司,太陽能發電系統萬金一號電廠,屏東縣萬巒鄉,,688.2,102,太陽能系統發電
"新天然電力股份有限公司
(前高屏矽能電力股份有限公司)",豐盛一號,屏東縣里港鄉,,691.2,101,太陽能系統發電
"新天然電力股份有限公司
(前高屏矽能電力股份有限公司)",里港一號,屏東縣里港鄉,,60,101,太陽能系統發電
"新天然電力股份有限公司
(前高屏矽能電力股份有限公司)",鹽埔一號,屏東縣鹽埔鄉,,72,101,太陽能系統發電
"冠威電力股份有限公司
(前台灣矽能電力股份有限公司)",漢寶二號,屏東縣里港鄉,,384,101,太陽能系統發電
永勁電力股份有限公司,永勁太陽光電發電廠一期,新竹市科技段,,550.55,105,太陽能系統發電
永勁電力股份有限公司,永勁太陽光電發電廠二期,臺南市安南區,,"3,369.60",106,太陽能系統發電
永勁電力股份有限公司,永勁太陽光電發電廠三期,高雄市路竹區,,"1,023.36",106,太陽能系統發電
永勁電力股份有限公司,永勁太陽光電發電廠四期,桃園市龜山區,,"1,646.28",106,太陽能系統發電
永勁電力股份有限公司,永勁太陽光電發電廠五期,桃園市龍潭區,,"3,957.24",106,太陽能系統發電
永勁電力股份有限公司,永勁太陽光電發電廠六期,桃園市,,"9,868.32",106,太陽能系統發電
大聚電業股份有限公司,大亞電線電纜第一型太陽能電廠,臺南市關廟區,,"2,392.25",105,太陽能系統發電
全利成電力股份有限公司,全利成一號電廠,屏東縣潮州鎮,,"1,231.65",105,太陽能系統發電
全利成電力股份有限公司,全利成二號電廠(屋頂型),屏東縣新園鄉,,"3,519.70",110,太陽能系統發電
全利成電力股份有限公司,全利成三號電廠(屋頂型),嘉義縣大林鎮,,"1,561.60",110,太陽能系統發電
台灣速力太陽能源股份有限公司,台灣速力口湖發電廠,雲林縣口湖鄉,,"4,998.00",107,太陽能系統發電
台灣速力太陽能源股份有限公司,台灣速力口湖發電廠-第二機組,雲林縣口湖鄉,,"4,549.68",109,太陽能系統發電
台灣速力太陽能源股份有限公司,台灣速力口湖發電廠-第三機組,雲林縣口湖鄉,,"4,984.00",109,太陽能系統發電
旭孝電力股份有限公司,旭孝一期太陽能電廠,台中市大雅區,,"2,802.50",107,太陽能系統發電
博碩電業股份有限公司,群創光電第一型太陽能電廠,台南市新市區,,"5,546.10",107,太陽能系統發電
亞通電力股份有限公司,新竹三陽工業屋頂型太陽光電發電廠,新竹縣湖口鄉,,"5,860.80",108,太陽能系統發電
亞通電力股份有限公司,新竹三陽工業車棚區太陽光電發電廠,新竹縣湖口鄉,,"1,357.20",108,太陽能系統發電
同陽能源股份有限公司,華映龍潭廠屋頂型太陽光電系統,桃園市龍潭區,,"2,620.80",108,太陽能系統發電
同陽能源股份有限公司,台北大眾捷運公司-土城機廠(屋頂型),新北市板橋區,,"4,999.83",111,太陽能系統發電
同陽能源股份有限公司,台北大眾捷運公司-蘆洲機廠(屋頂型),新北市蘆洲區,,"2,993.76",111,太陽能系統發電
同陽能源股份有限公司,後龍水尾滯洪池水面型太陽光電系統,苗栗縣後龍鎮,,9626.76,111,太陽能系統發電
愛弼士能源股份有限公司,風之谷太陽光電發電廠,台南市新市區,,"4,023.00",108,太陽能系統發電
弘泰電力股份有限公司,群創光電_竹南廠T2棟廠房屋頂太陽能發電廠,苗栗縣竹南鎮,,"4,882.25",108,太陽能系統發電
映暉能源有限公司,映暉能源2-1期太陽光電發電廠,雲林縣台西鄉,,"2,192.40",108,太陽能系統發電
映暉能源有限公司,映暉能源3-1期太陽光電發電廠,雲林縣台西鄉,,"1,612.80",108,太陽能系統發電
映暉能源有限公司,映暉能源第一期太陽光電發電廠,雲林縣口湖鄉,,"4,387.20",109,太陽能系統發電
映暉能源有限公司,映暉能源第6-1期太陽光電發電廠,雲林縣四湖鄉,,"1,461.60",111,太陽能系統發電
映暉能源有限公司,映暉能源第7-1期太陽光電發電廠,雲林縣口湖鄉,,"1,184.40",111,太陽能系統發電
映暉能源有限公司,映暉能源第2-2期太陽光電發電廠,雲林縣台西鄉,,630,111,太陽能系統發電
廣鑫能源股份有限公司,廣鑫臺中三井Outlet太陽能發電所,台中市梧棲區,,"4,532.51",108,太陽能系統發電
華洋電業開發股份有限公司,億升新豐廠B棟太陽光電發電廠,新竹縣新豐鄉,,897,108,太陽能系統發電
華洋電業開發股份有限公司,桃園大圳8-20號埤塘太陽光電發電廠,桃園市觀音區,,"2,980.80",108,太陽能系統發電
華洋電業開發股份有限公司,桃園大圳4-6號埤塘太陽光電發電廠,桃園市大園區,,"4,637.52",108,太陽能系統發電
華洋電業開發股份有限公司,桃園大圳8-24號埤塘太陽光電發電廠,桃園市觀音區,,"4,186.08",108,太陽能系統發電
華洋電業開發股份有限公司,桃園大圳8-19號埤塘太陽光電發電廠,桃園市大園區,,"1,764.00",108,太陽能系統發電
華洋電業開發股份有限公司,力麗企業廠房屋頂太陽光電發電廠,彰化縣芳苑鄉,,"2,499.00",108,太陽能系統發電
富崴能源股份有限公司,權聖太陽光電廠(三轉一),台南市安南區,,154.64,108,太陽能系統發電
成勁電力股份有限公司,成勁一期臺南關廟太陽光電發電廠,台南市關廟區,,"3,483.48",108,太陽能系統發電
成勁電力股份有限公司,成勁二期彰化大葉屋頂型太陽光電發電廠,彰化縣大村鄉,,"3,876.18",108,太陽能系統發電
成勁電力股份有限公司,成勁三期雲林口湖地面型太陽光電發電廠,雲林縣口湖鄉,,"1,990.80",110,太陽能系統發電
成勁電力股份有限公司,成勁四期空軍防空暨飛彈指揮部太陽光電發電廠,台南市仁德區,,"5,455.56",112,太陽能系統發電
昇甫電業股份有限公司,昇甫電業第一型太陽能發電廠,屏東縣鹽埔鄉,,"1,039.80",108,太陽能系統發電
得禾能源有限公司,國源汽車第三型轉第一型電廠(三轉一),台東縣台東市,,29.4,108,太陽能系統發電
得禾能源有限公司,台南一期電廠(屋頂型),台南市新營區,,7.44,109,太陽能系統發電
得禾能源有限公司,台南二期電廠(屋頂型),台南市新營區,,7.44,109,太陽能系統發電
得禾能源有限公司,台中一期電廠TW190991(屋頂型),台中市大甲區,,687.93,110,太陽能系統發電
得禾能源有限公司,雲林一期太陽光電發電廠(屋頂型),雲林縣林內鄉,,88.04,110,太陽能系統發電
得禾能源有限公司,彰化有鴻工業太陽光電發電廠,彰化縣線西鄉,,497.86,110,太陽能系統發電
得禾能源有限公司,屏南京沅鎢業太陽光電發電計畫(屋頂型),屏東縣枋寮鄉,,846.63,110,太陽能系統發電
得禾能源有限公司,屏東一期TW190986太陽光電發電廠,屏東縣萬丹鄉,,7.44,111,太陽能系統發電
得禾能源有限公司,屏東二期TW190986太陽光電發電廠,屏東縣萬丹鄉,,7.44,111,太陽能系統發電
